"rn","ec","eq","way","ko","symbol","name","map","md"
"R01824","5.4.99.15","Maltodextrin <=> 1-alpha-D-[(1->4)-alpha-D-Glucosyl](n-1)-alpha-D-glucopyranoside","Bidirectional","K06044","treY","(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase [EC:5.4.99.15]","map00500","M00565"
"R11256","3.2.1.141","1-alpha-D-[(1->4)-alpha-D-Glucosyl](n-1)-alpha-D-glucopyranoside + H2O <=> alpha,alpha-Trehalose + Maltodextrin","Bidirectional","K01236","treZ","maltooligosyltrehalose trehalohydrolase [EC:3.2.1.141]","map00500","M00565"
"R11261","3.2.1.68","Starch + n H2O <=> (n+1) Maltodextrin","Bidirectional","K01214","ISA","isoamylase [EC:3.2.1.68]","map00500","M00565"
"R00948","2.7.7.27","ATP + D-Glucose 1-phosphate <=> Diphosphate + ADP-glucose","Bidirectional","K00975","glgC","glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]","map00500","M00565, M00854"
"R02110","2.4.1.18","Amylose <=> Starch","Bidirectional","K00700","GBE1","1,4-alpha-glucan branching enzyme [EC:2.4.1.18]","map00500","M00565, M00854"
"R02110","2.4.1.18","Amylose <=> Starch","Bidirectional","K16149","K16149","1,4-alpha-glucan branching enzyme [EC:2.4.1.18]","map00500","M00565, M00854"
"R02421","2.4.1.21, 2.4.1.242","ADP-glucose + Amylose <=> ADP + Amylose","Bidirectional","K00703","glgA","starch synthase [EC:2.4.1.21]","map00500","M00565, M00854"
"R00289","2.7.7.9, 2.7.7.64","UTP + D-Glucose 1-phosphate <=> Diphosphate + UDP-glucose","Bidirectional","K00963","UGP2","UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]","map00500","M00854"
"R00292","2.4.1.11, 2.4.1.242","UDP-glucose + Amylose <=> UDP + Amylose","Bidirectional","K00693, K00750","GYS, GYG1","glycogen synthase [EC:2.4.1.11], glycogenin [EC:2.4.1.186]","map00500","M00854"
"R00292","2.4.1.11, 2.4.1.242","UDP-glucose + Amylose <=> UDP + Amylose","Bidirectional","K13679","WAXY","granule-bound starch synthase [EC:2.4.1.242]","map00500","M00854"
"R00292","2.4.1.11, 2.4.1.242","UDP-glucose + Amylose <=> UDP + Amylose","Bidirectional","K16150","K16150","glycogen synthase [EC:2.4.1.11]","map00500","M00854"
"R00292","2.4.1.11, 2.4.1.242","UDP-glucose + Amylose <=> UDP + Amylose","Bidirectional","K20812","glgA","glycogen synthase [EC:2.4.1.242]","map00500","M00854"
"R02421","2.4.1.21, 2.4.1.242","ADP-glucose + Amylose <=> ADP + Amylose","Bidirectional","K13679","WAXY","granule-bound starch synthase [EC:2.4.1.242]","map00500","M00854"
"R02421","2.4.1.21, 2.4.1.242","ADP-glucose + Amylose <=> ADP + Amylose","Bidirectional","K20812","glgA","glycogen synthase [EC:2.4.1.242]","map00500","M00854"
"R00292","2.4.1.11, 2.4.1.242","UDP-glucose + Amylose <=> UDP + Amylose","Bidirectional","K16153","K16153","glycogen phosphorylase/synthase [EC:2.4.1.1 2.4.1.11]","map00500","M00854, M00855"
"R02111","2.4.1.1","Starch + Orthophosphate <=> Amylose + D-Glucose 1-phosphate","Bidirectional","K16153","K16153","glycogen phosphorylase/synthase [EC:2.4.1.1 2.4.1.11]","map00500","M00854, M00855"
"R02111","2.4.1.1","Starch + Orthophosphate <=> Amylose + D-Glucose 1-phosphate","Bidirectional","K00688","PYG","glycogen phosphorylase [EC:2.4.1.1]","map00500","M00855"
"R02111","2.4.1.1","Starch + Orthophosphate <=> Amylose + D-Glucose 1-phosphate","Bidirectional","K00705","malQ","4-alpha-glucanotransferase [EC:2.4.1.25]","map00500","M00855"
"R02111","2.4.1.1","Starch + Orthophosphate <=> Amylose + D-Glucose 1-phosphate","Bidirectional","K01196","AGL","glycogen debranching enzyme [EC:2.4.1.25 3.2.1.33]","map00500","M00855"
"R02111","2.4.1.1","Starch + Orthophosphate <=> Amylose + D-Glucose 1-phosphate","Bidirectional","K01200","pulA","pullulanase [EC:3.2.1.41]","map00500","M00855"
"R02111","2.4.1.1","Starch + Orthophosphate <=> Amylose + D-Glucose 1-phosphate","Bidirectional","K02438","glgX","glycogen debranching enzyme [EC:3.2.1.196]","map00500","M00855"
"R02111","2.4.1.1","Starch + Orthophosphate <=> Amylose + D-Glucose 1-phosphate","Bidirectional","K22451","jgt","4-alpha-glucanotransferase [EC:2.4.1.25]","map00500","M00855"
"R05196","2.4.1.25","Amylose + n D-Glucose <=> n Maltose","Bidirectional","K00705","malQ","4-alpha-glucanotransferase [EC:2.4.1.25]","map00500","M00855"
"R05196","2.4.1.25","Amylose + n D-Glucose <=> n Maltose","Bidirectional","K22451","jgt","4-alpha-glucanotransferase [EC:2.4.1.25]","map00500","M00855"
"R08639","5.4.2.2, 5.4.2.5","D-Glucose 1-phosphate <=> D-Glucose 6-phosphate","Bidirectional","K01835","pgm","phosphoglucomutase [EC:5.4.2.2]","map00500","M00855"
"R08639","5.4.2.2, 5.4.2.5","D-Glucose 1-phosphate <=> D-Glucose 6-phosphate","Bidirectional","K15778","pmm-pgm","phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]","map00500","M00855"
"R00010","3.2.1.28","alpha,alpha-Trehalose + H2O <=> 2 D-Glucose","Bidirectional","K01194","TREH","alpha,alpha-trehalase [EC:3.2.1.28]","map00500","NA"
"R00010","3.2.1.28","alpha,alpha-Trehalose + H2O <=> 2 D-Glucose","Bidirectional","K22934","E3.2.1.28","alpha,alpha-trehalase [EC:3.2.1.28]","map00500","NA"
"R00028","3.2.1.20","Maltose + H2O <=> 2 D-Glucose","Bidirectional","K01187","malZ","alpha-glucosidase [EC:3.2.1.20]","map00500","NA"
"R00028","3.2.1.20","Maltose + H2O <=> 2 D-Glucose","Bidirectional","K12047","MGAM","maltase-glucoamylase [EC:3.2.1.20 3.2.1.3]","map00500","NA"
"R00028","3.2.1.20","Maltose + H2O <=> 2 D-Glucose","Bidirectional","K12316","GAA","lysosomal alpha-glucosidase [EC:3.2.1.20]","map00500","NA"
"R00028","3.2.1.20","Maltose + H2O <=> 2 D-Glucose","Bidirectional","K12317","GANC","neutral alpha-glucosidase C [EC:3.2.1.20]","map00500","NA"
"R00287","3.6.1.9, 3.6.1.45","UDP-glucose + H2O <=> UMP + D-Glucose 1-phosphate","Bidirectional","K01513","ENPP1_3","ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3 [EC:3.1.4.1 3.6.1.9]","map00500","NA"
"R00287","3.6.1.9, 3.6.1.45","UDP-glucose + H2O <=> UMP + D-Glucose 1-phosphate","Bidirectional","K04765","mazG","nucleoside triphosphate diphosphatase [EC:3.6.1.9]","map00500","NA"
"R00289","2.7.7.9, 2.7.7.64","UTP + D-Glucose 1-phosphate <=> Diphosphate + UDP-glucose","Bidirectional","K12447","USP","UDP-sugar pyrophosphorylase [EC:2.7.7.64]","map00500","NA"
"R00289","2.7.7.9, 2.7.7.64","UTP + D-Glucose 1-phosphate <=> Diphosphate + UDP-glucose","Bidirectional","K22920","UGP3","UTP---glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]","map00500","NA"
"R00299","2.7.1.1, 2.7.1.2","ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate","Bidirectional","K00844","HK","hexokinase [EC:2.7.1.1]","map00500","NA"
"R00299","2.7.1.1, 2.7.1.2","ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate","Bidirectional","K00845","glk","glucokinase [EC:2.7.1.2]","map00500","NA"
"R00299","2.7.1.1, 2.7.1.2","ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate","Bidirectional","K12407","GCK","glucokinase [EC:2.7.1.2]","map00500","NA"
"R00299","2.7.1.1, 2.7.1.2","ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate","Bidirectional","K25026","glk","glucokinase [EC:2.7.1.2]","map00500","NA"
"R00303","3.1.3.9, 3.1.3.58","D-Glucose 6-phosphate + H2O <=> D-Glucose + Orthophosphate","Bidirectional","K01084","G6PC","glucose-6-phosphatase [EC:3.1.3.9]","map00500","NA"
"R00306","3.2.1.21, 3.2.1.74","Cellobiose + H2O <=> 2 D-Glucose","Bidirectional","K01188","E3.2.1.21","beta-glucosidase [EC:3.2.1.21]","map00500","NA"
"R00306","3.2.1.21, 3.2.1.74","Cellobiose + H2O <=> 2 D-Glucose","Bidirectional","K05349","bglX","beta-glucosidase [EC:3.2.1.21]","map00500","NA"
"R00306","3.2.1.21, 3.2.1.74","Cellobiose + H2O <=> 2 D-Glucose","Bidirectional","K05350","bglB","beta-glucosidase [EC:3.2.1.21]","map00500","NA"
"R00308","3.2.1.39, 3.2.1.58","1,3-beta-D-Glucan + H2O <=> D-Glucose + 1,3-beta-D-Glucan","Bidirectional","K01199","EGLC","glucan endo-1,3-beta-D-glucosidase [EC:3.2.1.39]","map00500","NA"
"R00308","3.2.1.39, 3.2.1.58","1,3-beta-D-Glucan + H2O <=> D-Glucose + 1,3-beta-D-Glucan","Bidirectional","K01210","E3.2.1.58","glucan 1,3-beta-glucosidase [EC:3.2.1.58]","map00500","NA"
"R00308","3.2.1.39, 3.2.1.58","1,3-beta-D-Glucan + H2O <=> D-Glucose + 1,3-beta-D-Glucan","Bidirectional","K19891","GN1_2_3","glucan endo-1,3-beta-glucosidase 1/2/3 [EC:3.2.1.39]","map00500","NA"
"R00308","3.2.1.39, 3.2.1.58","1,3-beta-D-Glucan + H2O <=> D-Glucose + 1,3-beta-D-Glucan","Bidirectional","K19892","GN4","glucan endo-1,3-beta-glucosidase 4 [EC:3.2.1.39]","map00500","NA"
"R00308","3.2.1.39, 3.2.1.58","1,3-beta-D-Glucan + H2O <=> D-Glucose + 1,3-beta-D-Glucan","Bidirectional","K19893","GN5_6","glucan endo-1,3-beta-glucosidase 5/6 [EC:3.2.1.39]","map00500","NA"
"R00760","2.7.1.1, 2.7.1.4","ATP + D-Fructose <=> ADP + D-Fructose 6-phosphate","Bidirectional","K00844","HK","hexokinase [EC:2.7.1.1]","map00500","NA"
