"rn","ec","eq","way","ko","symbol","name","map","md"
"R00772","5.3.1.8","D-Mannose 6-phosphate <=> D-Fructose 6-phosphate","Bidirectional","K01809","manA","mannose-6-phosphate isomerase [EC:5.3.1.8]","map00051","M00114"
"R00885","2.7.7.13","GTP + D-Mannose 1-phosphate <=> Diphosphate + GDP-mannose","Bidirectional","K00966","GMPP","mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]","map00051","M00114"
"R01818","5.4.2.8","D-Mannose 6-phosphate <=> D-Mannose 1-phosphate","Bidirectional","K17497","PMM","phosphomannomutase [EC:5.4.2.8]","map00051","M00114"
"R00756","2.7.1.11","ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate","Bidirectional","K00850","pfkA","6-phosphofructokinase 1 [EC:2.7.1.11]","map00051","NA"
"R00756","2.7.1.11","ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate","Bidirectional","K16370","pfkB","6-phosphofructokinase 2 [EC:2.7.1.11]","map00051","NA"
"R00756","2.7.1.11","ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate","Bidirectional","K21071","pfk","ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]","map00051","NA"
"R00756","2.7.1.11","ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate","Bidirectional","K24182","PFK9","6-phosphofructokinase [EC:2.7.1.11]","map00051","NA"
"R00758","1.1.1.17","D-Mannitol 1-phosphate + NAD+ <=> D-Fructose 6-phosphate + NADH + H+","Bidirectional","K00009","mtlD","mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]","map00051","NA"
"R00760","2.7.1.1, 2.7.1.4","ATP + D-Fructose <=> ADP + D-Fructose 6-phosphate","Bidirectional","K00844","HK","hexokinase [EC:2.7.1.1]","map00051","NA"
"R00760","2.7.1.1, 2.7.1.4","ATP + D-Fructose <=> ADP + D-Fructose 6-phosphate","Bidirectional","K00847","E2.7.1.4","fructokinase [EC:2.7.1.4]","map00051","NA"
"R00762","3.1.3.11","D-Fructose 1,6-bisphosphate + H2O <=> D-Fructose 6-phosphate + Orthophosphate","Bidirectional","K01086","fbp-SEBP","fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]","map00051","NA"
"R00762","3.1.3.11","D-Fructose 1,6-bisphosphate + H2O <=> D-Fructose 6-phosphate + Orthophosphate","Bidirectional","K01622","K01622","fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]","map00051","NA"
"R00762","3.1.3.11","D-Fructose 1,6-bisphosphate + H2O <=> D-Fructose 6-phosphate + Orthophosphate","Bidirectional","K02446","glpX","fructose-1,6-bisphosphatase II [EC:3.1.3.11]","map00051","NA"
"R00762","3.1.3.11","D-Fructose 1,6-bisphosphate + H2O <=> D-Fructose 6-phosphate + Orthophosphate","Bidirectional","K03841","FBP","fructose-1,6-bisphosphatase I [EC:3.1.3.11]","map00051","NA"
"R00762","3.1.3.11","D-Fructose 1,6-bisphosphate + H2O <=> D-Fructose 6-phosphate + Orthophosphate","Bidirectional","K04041","fbp3","fructose-1,6-bisphosphatase III [EC:3.1.3.11]","map00051","NA"
"R00762","3.1.3.11","D-Fructose 1,6-bisphosphate + H2O <=> D-Fructose 6-phosphate + Orthophosphate","Bidirectional","K11532","glpX-SEBP","fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]","map00051","NA"
"R00763","3.1.3.46","beta-D-Fructose 2,6-bisphosphate + H2O <=> D-Fructose 6-phosphate + Orthophosphate","Bidirectional","K01103","PFKFB3","6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 3 [EC:2.7.1.105 3.1.3.46]","map00051","NA"
"R00763","3.1.3.46","beta-D-Fructose 2,6-bisphosphate + H2O <=> D-Fructose 6-phosphate + Orthophosphate","Bidirectional","K14634","TIGAR","fructose-2,6-bisphosphatase [EC:3.1.3.46]","map00051","NA"
"R00763","3.1.3.46","beta-D-Fructose 2,6-bisphosphate + H2O <=> D-Fructose 6-phosphate + Orthophosphate","Bidirectional","K19028","PFKFB1","6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 1 [EC:2.7.1.105 3.1.3.46]","map00051","NA"
"R00763","3.1.3.46","beta-D-Fructose 2,6-bisphosphate + H2O <=> D-Fructose 6-phosphate + Orthophosphate","Bidirectional","K19029","PFKFB2","6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 2 [EC:2.7.1.105 3.1.3.46]","map00051","NA"
"R00763","3.1.3.46","beta-D-Fructose 2,6-bisphosphate + H2O <=> D-Fructose 6-phosphate + Orthophosphate","Bidirectional","K19030","PFKFB4","6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 4 [EC:2.7.1.105 3.1.3.46]","map00051","NA"
"R00764","2.7.1.90","Diphosphate + D-Fructose 6-phosphate <=> Orthophosphate + D-Fructose 1,6-bisphosphate","Bidirectional","K00895","pfp","diphosphate-dependent phosphofructokinase [EC:2.7.1.90]","map00051","NA"
"R00764","2.7.1.90","Diphosphate + D-Fructose 6-phosphate <=> Orthophosphate + D-Fructose 1,6-bisphosphate","Bidirectional","K21071","pfk","ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]","map00051","NA"
"R00772","5.3.1.8","D-Mannose 6-phosphate <=> D-Fructose 6-phosphate","Bidirectional","K15916","pgi-pmi","glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]","map00051","NA"
"R00772","5.3.1.8","D-Mannose 6-phosphate <=> D-Fructose 6-phosphate","Bidirectional","K16011","algA","mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase [EC:2.7.7.13 5.3.1.8]","map00051","NA"
"R00866","2.7.1.3","ATP + D-Fructose <=> ADP + D-Fructose 1-phosphate","Bidirectional","K00846","KHK","ketohexokinase [EC:2.7.1.3]","map00051","NA"
"R00866","2.7.1.3","ATP + D-Fructose <=> ADP + D-Fructose 1-phosphate","Bidirectional","K27475","khk","ketohexokinase [EC:2.7.1.3]","map00051","NA"
"R00868","1.1.1.11, 1.1.1.67","Mannitol + NAD+ <=> D-Fructose + NADH + H+","Bidirectional","K00007","dalD","D-arabinitol 4-dehydrogenase [EC:1.1.1.11]","map00051","NA"
"R00868","1.1.1.11, 1.1.1.67","Mannitol + NAD+ <=> D-Fructose + NADH + H+","Bidirectional","K00045","mtlK","mannitol 2-dehydrogenase [EC:1.1.1.67]","map00051","NA"
"R00868","1.1.1.11, 1.1.1.67","Mannitol + NAD+ <=> D-Fructose + NADH + H+","Bidirectional","K27924","mscM","mannitol 2-dehydrogenase [EC:1.1.1.67]","map00051","NA"
"R00875","1.1.1.14, 1.1.1.15","D-Sorbitol + NAD+ <=> D-Fructose + NADH + H+","Bidirectional","K00008","SORD","L-iditol 2-dehydrogenase [EC:1.1.1.14]","map00051","NA"
"R00878","5.3.1.5","alpha-D-Glucose <=> D-Fructose","Bidirectional","K01805","xylA","xylose isomerase [EC:5.3.1.5]","map00051","NA"
"R00879","3.2.1.80","Fructan(n+1) + H2O <=> D-Fructose + Fructan(n)","Bidirectional","K03332","fruA","fructan beta-fructosidase [EC:3.2.1.80]","map00051","NA"
"R00880","1.1.1.132","GDP-mannose + H2O + 2 NAD+ <=> GDP-D-mannuronate + 2 NADH + 2 H+","Bidirectional","K00066","algD","GDP-mannose 6-dehydrogenase [EC:1.1.1.132]","map00051","NA"
"R00885","2.7.7.13","GTP + D-Mannose 1-phosphate <=> Diphosphate + GDP-mannose","Bidirectional","K00971","manC","mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]","map00051","NA"
"R00885","2.7.7.13","GTP + D-Mannose 1-phosphate <=> Diphosphate + GDP-mannose","Bidirectional","K16011","algA","mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase [EC:2.7.7.13 5.3.1.8]","map00051","NA"
"R00885","2.7.7.13","GTP + D-Mannose 1-phosphate <=> Diphosphate + GDP-mannose","Bidirectional","K16881","K16881","mannose-1-phosphate guanylyltransferase / phosphomannomutase [EC:2.7.7.13 5.4.2.8]","map00051","NA"
"R00888","4.2.1.47","GDP-mannose <=> GDP-4-dehydro-6-deoxy-D-mannose + H2O","Bidirectional","K01711","gmd","GDPmannose 4,6-dehydratase [EC:4.2.1.47]","map00051","NA"
"R01015","5.3.1.1","D-Glyceraldehyde 3-phosphate <=> Glycerone phosphate","Bidirectional","K01803","TPI","triosephosphate isomerase (TIM) [EC:5.3.1.1]","map00051","NA"
"R01059","2.7.1.28","ATP + D-Glyceraldehyde <=> ADP + D-Glyceraldehyde 3-phosphate","Bidirectional","K00863","DAK","triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]","map00051","NA"
"R01068","4.1.2.13","D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate","Bidirectional","K01622","K01622","fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]","map00051","NA"
"R01068","4.1.2.13","D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate","Bidirectional","K01623","ALDO","fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","map00051","NA"
"R01068","4.1.2.13","D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate","Bidirectional","K01624","FBA","fructose-bisphosphate aldolase, class II [EC:4.1.2.13]","map00051","NA"
"R01068","4.1.2.13","D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate","Bidirectional","K11645","fbaB","fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","map00051","NA"
"R01068","4.1.2.13","D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate","Bidirectional","K16305","K16305","fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]","map00051","NA"
"R01068","4.1.2.13","D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate","Bidirectional","K16306","K16306","fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]","map00051","NA"
"R01326","2.7.1.1, 2.7.1.7","ATP + D-Mannose <=> ADP + D-Mannose 6-phosphate","Bidirectional","K00844","HK","hexokinase [EC:2.7.1.1]","map00051","NA"
"R01332","3.2.1.25, 3.2.1.78","1,4-beta-D-Mannan + (n-1) H2O <=> n D-Mannose","Bidirectional","K01218","gmuG","mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]","map00051","NA"
"R01332","3.2.1.25, 3.2.1.78","1,4-beta-D-Mannan + (n-1) H2O <=> n D-Mannose","Bidirectional","K19355","MAN","mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]","map00051","NA"
"R01787","1.1.1.21","D-Sorbitol + NADP+ <=> alpha-D-Glucose + NADPH + H+","Bidirectional","K00011","AKR1B","aldehyde reductase [EC:1.1.1.21]","map00051","NA"
"R01818","5.4.2.8","D-Mannose 6-phosphate <=> D-Mannose 1-phosphate","Bidirectional","K01840","manB","phosphomannomutase [EC:5.4.2.8]","map00051","NA"
"R01818","5.4.2.8","D-Mannose 6-phosphate <=> D-Mannose 1-phosphate","Bidirectional","K15778","pmm-pgm","phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]","map00051","NA"
"R01818","5.4.2.8","D-Mannose 6-phosphate <=> D-Mannose 1-phosphate","Bidirectional","K16881","K16881","mannose-1-phosphate guanylyltransferase / phosphomannomutase [EC:2.7.7.13 5.4.2.8]","map00051","NA"
"R01951","2.7.7.30","GTP + L-Fucose 1-phosphate <=> Diphosphate + GDP-L-fucose","Bidirectional","K00976","FPGT","fucose-1-phosphate guanylyltransferase [EC:2.7.7.30]","map00051","NA"
"R01951","2.7.7.30","GTP + L-Fucose 1-phosphate <=> Diphosphate + GDP-L-fucose","Bidirectional","K25314","FKGP","fucokinase / fucose-1-phosphate guanylyltransferase [EC:2.7.1.52 2.7.7.30]","map00051","NA"
