"rn","ec","eq","way","ko","symbol","name","map","md"
"R00024","4.1.1.39","D-Ribulose 1,5-bisphosphate + CO2 + H2O <=> 2 3-Phospho-D-glycerate","Bidirectional","K01601","rbcL","ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]","map00710","M00165"
"R00762","3.1.3.11","D-Fructose 1,6-bisphosphate + H2O <=> D-Fructose 6-phosphate + Orthophosphate","Bidirectional","K01086","fbp-SEBP","fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]","map00710","M00165"
"R00762","3.1.3.11","D-Fructose 1,6-bisphosphate + H2O <=> D-Fructose 6-phosphate + Orthophosphate","Bidirectional","K02446","glpX","fructose-1,6-bisphosphatase II [EC:3.1.3.11]","map00710","M00165"
"R00762","3.1.3.11","D-Fructose 1,6-bisphosphate + H2O <=> D-Fructose 6-phosphate + Orthophosphate","Bidirectional","K03841","FBP","fructose-1,6-bisphosphatase I [EC:3.1.3.11]","map00710","M00165"
"R00762","3.1.3.11","D-Fructose 1,6-bisphosphate + H2O <=> D-Fructose 6-phosphate + Orthophosphate","Bidirectional","K11532","glpX-SEBP","fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]","map00710","M00165"
"R01015","5.3.1.1","D-Glyceraldehyde 3-phosphate <=> Glycerone phosphate","Bidirectional","K01803","TPI","triosephosphate isomerase (TIM) [EC:5.3.1.1]","map00710","M00165"
"R01056","5.3.1.6","D-Ribose 5-phosphate <=> D-Ribulose 5-phosphate","Bidirectional","K01807","rpiA","ribose 5-phosphate isomerase A [EC:5.3.1.6]","map00710","M00165"
"R01056","5.3.1.6","D-Ribose 5-phosphate <=> D-Ribulose 5-phosphate","Bidirectional","K01808","rpiB","ribose 5-phosphate isomerase B [EC:5.3.1.6]","map00710","M00165"
"R01061","1.2.1.12, 1.2.1.59","D-Glyceraldehyde 3-phosphate + Orthophosphate + NAD+ <=> 3-Phospho-D-glyceroyl phosphate + NADH + H+","Bidirectional","K00134","GAPDH","glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]","map00710","M00165"
"R01061","1.2.1.12, 1.2.1.59","D-Glyceraldehyde 3-phosphate + Orthophosphate + NAD+ <=> 3-Phospho-D-glyceroyl phosphate + NADH + H+","Bidirectional","K00150","gap2","glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]","map00710","M00165"
"R01063","1.2.1.13, 1.2.1.59","D-Glyceraldehyde 3-phosphate + Orthophosphate + NADP+ <=> 3-Phospho-D-glyceroyl phosphate + NADPH + H+","Bidirectional","K00150","gap2","glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]","map00710","M00165"
"R01063","1.2.1.13, 1.2.1.59","D-Glyceraldehyde 3-phosphate + Orthophosphate + NADP+ <=> 3-Phospho-D-glyceroyl phosphate + NADPH + H+","Bidirectional","K05298","GAPA","glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13]","map00710","M00165"
"R01067","2.2.1.1","D-Fructose 6-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + D-Xylulose 5-phosphate","Bidirectional","K00615","E2.2.1.1","transketolase [EC:2.2.1.1]","map00710","M00165"
"R01068","4.1.2.13","D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate","Bidirectional","K01623","ALDO","fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","map00710","M00165"
