"rn","ec","eq","way","ko","symbol","name","map","md"
"R00342","1.1.1.37, 1.1.1.299","(S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+","Bidirectional","K00025","MDH1","malate dehydrogenase [EC:1.1.1.37]","map00630","M00012"
"R00342","1.1.1.37, 1.1.1.299","(S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+","Bidirectional","K00026","MDH2","malate dehydrogenase [EC:1.1.1.37]","map00630","M00012"
"R00472","2.3.3.9","(S)-Malate + CoA <=> Acetyl-CoA + H2O + Glyoxylate","Bidirectional","K01638","aceB","malate synthase [EC:2.3.3.9]","map00630","M00012"
"R00479","4.1.3.1","Isocitrate <=> Succinate + Glyoxylate","Bidirectional","K01637","ICL","isocitrate/methylisocitrate lyase [EC:4.1.3.1 4.1.3.30]","map00630","M00012"
"R01325","4.2.1.3","Citrate <=> cis-Aconitate + H2O","Bidirectional","K01681","ACO","aconitate hydratase [EC:4.2.1.3]","map00630","M00012"
"R01325","4.2.1.3","Citrate <=> cis-Aconitate + H2O","Bidirectional","K01682","acnB","aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]","map00630","M00012"
"R01900","4.2.1.3","Isocitrate <=> cis-Aconitate + H2O","Bidirectional","K01681","ACO","aconitate hydratase [EC:4.2.1.3]","map00630","M00012"
"R01900","4.2.1.3","Isocitrate <=> cis-Aconitate + H2O","Bidirectional","K01682","acnB","aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]","map00630","M00012"
"R00342","1.1.1.37, 1.1.1.299","(S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+","Bidirectional","K00024","mdh","malate dehydrogenase [EC:1.1.1.37]","map00630","M00012, M00740"
"R00351","2.3.3.1, 2.3.3.3, 2.3.3.5, 2.3.3.16","Citrate + CoA <=> Acetyl-CoA + H2O + Oxaloacetate","Bidirectional","K01647","CS","citrate synthase [EC:2.3.3.1]","map00630","M00012, M00740"
"R00351","2.3.3.1, 2.3.3.3, 2.3.3.5, 2.3.3.16","Citrate + CoA <=> Acetyl-CoA + H2O + Oxaloacetate","Bidirectional","K01659","prpC","2-methylcitrate synthase [EC:2.3.3.5]","map00630","M00012, M00740"
"R00473","4.1.3.24","L-Malyl-CoA <=> Acetyl-CoA + Glyoxylate","Bidirectional","K19282","aceB","bifunctional (S)-malyl-CoA lyase/thioesterase [EC:4.1.3.24 3.1.2.30]","map00630","M00012, M00740"
