"rn","ec","eq","way","ko","symbol","name","map","md"
"R00342","1.1.1.37, 1.1.1.299","(S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+","Bidirectional","K00024","mdh","malate dehydrogenase [EC:1.1.1.37]","map00620","M00168"
"R00342","1.1.1.37, 1.1.1.299","(S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+","Bidirectional","K00025","MDH1","malate dehydrogenase [EC:1.1.1.37]","map00620","M00168"
"R00342","1.1.1.37, 1.1.1.299","(S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+","Bidirectional","K00026","MDH2","malate dehydrogenase [EC:1.1.1.37]","map00620","M00168"
"R00345","4.1.1.31","Orthophosphate + Oxaloacetate <=> H2O + Phosphoenolpyruvate + CO2","Bidirectional","K01595","ppc","phosphoenolpyruvate carboxylase [EC:4.1.1.31]","map00620","M00168, M00172"
"R00206","2.7.9.1","ATP + Pyruvate + Orthophosphate <=> AMP + Phosphoenolpyruvate + Diphosphate","Bidirectional","K01006","ppdK","pyruvate, orthophosphate dikinase [EC:2.7.9.1]","map00620","M00169, M00172"
"R00216","1.1.1.40","(S)-Malate + NADP+ <=> Pyruvate + CO2 + NADPH + H+","Bidirectional","K00029","maeB","malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]","map00620","M00169, M00172"
"R00343","1.1.1.82, 1.1.1.299","(S)-Malate + NADP+ <=> Oxaloacetate + NADPH + H+","Bidirectional","K00051","E1.1.1.82","malate dehydrogenase (NADP+) [EC:1.1.1.82]","map00620","M00172"
"R01196","1.2.7.1, 1.2.7.11","2 Reduced ferredoxin + Acetyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + Pyruvate + CoA","Bidirectional","K00169, K00170, K00171, K00172","porA, porB, porD, porC","pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1], pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1], pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1], pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]","map00620","M00307"
"R01196","1.2.7.1, 1.2.7.11","2 Reduced ferredoxin + Acetyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + Pyruvate + CoA","Bidirectional","K00169, K00170, K00171, K00189","porA, porB, porD, vorG","pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1], pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1], pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1], 2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]","map00620","M00307"
"R01196","1.2.7.1, 1.2.7.11","2 Reduced ferredoxin + Acetyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + Pyruvate + CoA","Bidirectional","K03737","por","pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]","map00620","M00307"
"R10866","","Pyruvate + CoA + Oxidized flavodoxin <=> Acetyl-CoA + CO2 + Reduced flavodoxin","Bidirectional","K03737","por","pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]","map00620","M00307"
"R00230","2.3.1.8","Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate","Bidirectional","K00625","pta","phosphate acetyltransferase [EC:2.3.1.8]","map00620","M00579"
"R00230","2.3.1.8","Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate","Bidirectional","K13788","pta","phosphate acetyltransferase [EC:2.3.1.8]","map00620","M00579"
"R00230","2.3.1.8","Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate","Bidirectional","K15024","K15024","putative phosphotransacetylase [EC:2.3.1.8]","map00620","M00579"
"R00315","2.7.2.1, 2.7.2.15","ATP + Acetate <=> ADP + Acetyl phosphate","Bidirectional","K00925","ackA","acetate kinase [EC:2.7.2.1]","map00620","M00579"
"R00014","1.2.4.1, 2.2.1.6, 4.1.1.1","Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2","Bidirectional","K00161, K00162","PDHA, PDHB","pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1], pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]","map00620","NA"
"R00014","1.2.4.1, 2.2.1.6, 4.1.1.1","Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2","Bidirectional","K00163","aceE","pyruvate dehydrogenase E1 component [EC:1.2.4.1]","map00620","NA"
"R00014","1.2.4.1, 2.2.1.6, 4.1.1.1","Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2","Bidirectional","K01568","PDC","pyruvate decarboxylase [EC:4.1.1.1]","map00620","NA"
"R00014","1.2.4.1, 2.2.1.6, 4.1.1.1","Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2","Bidirectional","K01652, K01653","E2.2.1.6L, E2.2.1.6S","acetolactate synthase I/II/III large subunit [EC:2.2.1.6], acetolactate synthase I/III small subunit [EC:2.2.1.6]","map00620","NA"
"R00014","1.2.4.1, 2.2.1.6, 4.1.1.1","Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2","Bidirectional","K11258","ilvM","acetolactate synthase II small subunit [EC:2.2.1.6]","map00620","NA"
"R00196","1.1.2.3","(S)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+","Bidirectional","K00101","lldD","L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]","map00620","NA"
"R00197","1.1.2.4","(R)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+","Bidirectional","K00102","LDHD","D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]","map00620","NA"
"R00199","2.7.9.2","ATP + Pyruvate + H2O <=> AMP + Phosphoenolpyruvate + Orthophosphate","Bidirectional","K01007","pps","pyruvate, water dikinase [EC:2.7.9.2]","map00620","NA"
"R00200","2.7.1.40","ATP + Pyruvate <=> ADP + Phosphoenolpyruvate","Bidirectional","K00873","PK","pyruvate kinase [EC:2.7.1.40]","map00620","NA"
"R00200","2.7.1.40","ATP + Pyruvate <=> ADP + Phosphoenolpyruvate","Bidirectional","K12406","PKLR","pyruvate kinase isozymes R/L [EC:2.7.1.40]","map00620","NA"
"R00203","1.2.1.22, 1.2.1.23","Methylglyoxal + NAD+ + H2O <=> Pyruvate + NADH + H+","Bidirectional","K07248","aldA","lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase [EC:1.2.1.22 1.2.1.21]","map00620","NA"
"R00207","1.2.3.3","Pyruvate + Orthophosphate + Oxygen <=> Acetyl phosphate + Hydrogen peroxide + CO2","Bidirectional","K00158","spxB","pyruvate oxidase [EC:1.2.3.3]","map00620","NA"
"R00212","2.3.1.54","Acetyl-CoA + Formate <=> CoA + Pyruvate","Bidirectional","K00656","E2.3.1.54","formate C-acetyltransferase [EC:2.3.1.54]","map00620","NA"
"R00214","1.1.1.38, 1.1.1.39","(S)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+","Bidirectional","K00027","ME2","malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]","map00620","NA"
"R00214","1.1.1.38, 1.1.1.39","(S)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+","Bidirectional","K00028","E1.1.1.39","malate dehydrogenase (decarboxylating) [EC:1.1.1.39]","map00620","NA"
"R00217","1.1.1.38, 1.1.1.40, 4.1.1.112","Oxaloacetate <=> Pyruvate + CO2","Bidirectional","K01003","bcpA","oxaloacetate decarboxylase [EC:4.1.1.112]","map00620","NA"
"R00227","3.1.2.1","Acetyl-CoA + H2O <=> CoA + Acetate","Bidirectional","K01067","E3.1.2.1","acetyl-CoA hydrolase [EC:3.1.2.1]","map00620","NA"
"R00228","1.2.1.10","Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+","Bidirectional","K00132","E1.2.1.10","acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]","map00620","NA"
"R00228","1.2.1.10","Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+","Bidirectional","K04021","eutE","aldehyde dehydrogenase","map00620","NA"
"R00228","1.2.1.10","Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+","Bidirectional","K04072","adhE","acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]","map00620","NA"
"R00228","1.2.1.10","Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+","Bidirectional","K04073","mhpF","acetaldehyde dehydrogenase [EC:1.2.1.10]","map00620","NA"
"R00228","1.2.1.10","Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+","Bidirectional","K18366","bphJ","acetaldehyde/propanal dehydrogenase [EC:1.2.1.10 1.2.1.87]","map00620","NA"
"R00229","6.2.1.13","ATP + Acetate + CoA <=> ADP + Acetyl-CoA + Orthophosphate","Bidirectional","K01905, K22224","acdA, acdB","acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13], acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13]","map00620","NA"
"R00229","6.2.1.13","ATP + Acetate + CoA <=> ADP + Acetyl-CoA + Orthophosphate","Bidirectional","K24012","acdAB","acetate---CoA ligase (ADP-forming) [EC:6.2.1.13]","map00620","NA"
"R00230","2.3.1.8","Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate","Bidirectional","K04020","eutD","phosphotransacetylase","map00620","NA"
"R00236","6.2.1.1","Acetyl adenylate + CoA <=> AMP + Acetyl-CoA","Bidirectional","K01895","ACSS1_2","acetyl-CoA synthetase [EC:6.2.1.1]","map00620","NA"
