"rn","ec","eq","way","ko","symbol","name","map","md"
"R05185","1.18.6.1","16 ATP + Nitrogen + 8 Reduced ferredoxin + 8 H+ + 16 H2O <=> 16 Orthophosphate + 16 ADP + 8 Oxidized ferredoxin + 2 Ammonia + Hydrogen","Bidirectional","K02588, K02586, K02591","nifH, nifD, nifK","nitrogenase iron protein NifH, nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1], nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]","map00910","M00175"
"R12084","1.18.6.2","12 Reduced ferredoxin + 12 H+ + Nitrogen + 40 ATP + 40 H2O <=> 12 Oxidized ferredoxin + 3 Hydrogen + 2 Ammonia + 40 ADP + 40 Orthophosphate","Bidirectional","K22896, K22897, K22898, K22899","vnfD, vnfK, vnfG, vnfH","vanadium-dependent nitrogenase alpha chain [EC:1.18.6.2], vanadium-dependent nitrogenase beta chain [EC:1.18.6.2], vanadium nitrogenase delta subunit [EC:1.18.6.2], vanadium nitrogenase iron protein","map00910","M00175"
"R00148","1.14.99.39","Ammonia + Oxygen + Ubiquinol <=> Hydroxylamine + H2O + Ubiquinone","Bidirectional","K10944, K10945, K10946","pmoA-amoA, pmoB-amoB, pmoC-amoC","methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39], methane/ammonia monooxygenase subunit B, methane/ammonia monooxygenase subunit C","map00910","M00528, M00804"
"R10164","1.7.2.6","Hydroxylamine + H2O + 4 Ferricytochrome c <=> Nitrite + 4 Ferrocytochrome c + 5 H+","Bidirectional","K10535","hao","hydroxylamine dehydrogenase [EC:1.7.2.6]","map00910","M00528, M00804"
"R00294","1.7.2.5","2 Nitric oxide + 2 Ferrocytochrome c + 2 H+ <=> Nitrous oxide + 2 Ferricytochrome c + H2O","Bidirectional","K04561, K02305","norB, norC","nitric oxide reductase subunit B [EC:1.7.2.5], nitric oxide reductase subunit C","map00910","M00529"
"R02804","1.7.2.4","Nitrogen + 2 Ferricytochrome c + H2O <=> Nitrous oxide + 2 Ferrocytochrome c + 2 H+","Bidirectional","K00376","nosZ","nitrous-oxide reductase [EC:1.7.2.4]","map00910","M00529"
"R00798","","Nitrite + Acceptor + H2O <=> Nitrate + Reduced acceptor","Bidirectional","K00370, K00371, K00374","narG, narH, narI","nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-], nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-], nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]","map00910","M00529, M00530"
"R00798","","Nitrite + Acceptor + H2O <=> Nitrate + Reduced acceptor","Bidirectional","K02567, K02568","napA, napB","nitrate reductase (cytochrome) [EC:1.9.6.1], nitrate reductase (cytochrome), electron transfer subunit","map00910","M00529, M00530"
"R09497","1.7.5.1","Nitrate + Hydroquinone <=> Nitrite + Quinone + H2O","Bidirectional","K00370, K00371, K00374","narG, narH, narI","nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-], nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-], nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]","map00910","M00529, M00530"
"R00143","1.7.1.10, 1.7.99.1","Ammonia + NAD+ + H2O <=> Hydroxylamine + NADH + H+","Bidirectional","K15864","nirS","nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]","map00910","M00529, M00973"
"R00783","1.7.2.1","Nitric oxide + H2O + Ferricytochrome c <=> Nitrite + Ferrocytochrome c + H+","Bidirectional","K00368","nirK","nitrite reductase (NO-forming) [EC:1.7.2.1]","map00910","M00529, M00973"
