"rn","ec","eq","way","ko","symbol","name","map","md"
"R00341","4.1.1.49","ATP + Oxaloacetate <=> ADP + Phosphoenolpyruvate + CO2","Bidirectional","K01610","pckA","phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]","map00020","M00003"
"R00431","4.1.1.32","GTP + Oxaloacetate <=> GDP + Phosphoenolpyruvate + CO2","Bidirectional","K01596","E4.1.1.32","phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]","map00020","M00003"
"R00726","4.1.1.32","ITP + Oxaloacetate <=> IDP + Phosphoenolpyruvate + CO2","Bidirectional","K01596","E4.1.1.32","phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]","map00020","M00003"
"R00351","2.3.3.1, 2.3.3.3, 2.3.3.5, 2.3.3.16","Citrate + CoA <=> Acetyl-CoA + H2O + Oxaloacetate","Bidirectional","K05942","E2.3.3.3","citrate (Re)-synthase [EC:2.3.3.3]","map00020","M00009, M00010"
"R00709","1.1.1.41, 1.1.1.286","Isocitrate + NAD+ <=> 2-Oxoglutarate + CO2 + NADH + H+","Bidirectional","K00030","IDH3","isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]","map00020","M00009, M00010"
"R01325","4.2.1.3","Citrate <=> cis-Aconitate + H2O","Bidirectional","K01681","ACO","aconitate hydratase [EC:4.2.1.3]","map00020","M00009, M00010"
"R01900","4.2.1.3","Isocitrate <=> cis-Aconitate + H2O","Bidirectional","K01681","ACO","aconitate hydratase [EC:4.2.1.3]","map00020","M00009, M00010"
"R00268","1.1.1.42","Oxalosuccinate <=> 2-Oxoglutarate + CO2","Bidirectional","K00031","IDH1","isocitrate dehydrogenase [EC:1.1.1.42]","map00020","M00009, M00010, M00740"
"R00351","2.3.3.1, 2.3.3.3, 2.3.3.5, 2.3.3.16","Citrate + CoA <=> Acetyl-CoA + H2O + Oxaloacetate","Bidirectional","K01647","CS","citrate synthase [EC:2.3.3.1]","map00020","M00009, M00010, M00740"
"R01899","1.1.1.42","Isocitrate + NADP+ <=> Oxalosuccinate + NADPH + H+","Bidirectional","K00031","IDH1","isocitrate dehydrogenase [EC:1.1.1.42]","map00020","M00009, M00010, M00740"
"R00351","2.3.3.1, 2.3.3.3, 2.3.3.5, 2.3.3.16","Citrate + CoA <=> Acetyl-CoA + H2O + Oxaloacetate","Bidirectional","K01659","prpC","2-methylcitrate synthase [EC:2.3.3.5]","map00020","M00009, M00010, M00740, M00982"
"R01325","4.2.1.3","Citrate <=> cis-Aconitate + H2O","Bidirectional","K27802","acnA","aconitate hydratase A / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]","map00020","M00009, M00010, M00740, M00982"
"R01900","4.2.1.3","Isocitrate <=> cis-Aconitate + H2O","Bidirectional","K27802","acnA","aconitate hydratase A / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]","map00020","M00009, M00010, M00740, M00982"
