"rn","ec","eq","way","ko","symbol","name","map","md"
"R11945","7.1.1.2","Ubiquinone + NADH + H+ + 4 H+ <=> Ubiquinol + NAD+ + 4 H+","Bidirectional","K03878, K03879, K03880, K03881, K03882, K03883, K03884","ND1, ND2, ND3, ND4, ND4L, ND5, ND6","NADH-ubiquinone oxidoreductase chain 1 [EC:7.1.1.2], NADH-ubiquinone oxidoreductase chain 2 [EC:7.1.1.2], NADH-ubiquinone oxidoreductase chain 3 [EC:7.1.1.2], NADH-ubiquinone oxidoreductase chain 4 [EC:7.1.1.2], NADH-ubiquinone oxidoreductase chain 4L [EC:7.1.1.2], NADH-ubiquinone oxidoreductase chain 5 [EC:7.1.1.2], NADH-ubiquinone oxidoreductase chain 6 [EC:7.1.1.2]","map00190","M00142"
"R11945","7.1.1.2","Ubiquinone + NADH + H+ + 4 H+ <=> Ubiquinol + NAD+ + 4 H+","Bidirectional","K03934, K03935, K03936, K03937, K03938, K03939, K03940, K03941, K03942, K03943","NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS5, NDUFS6, NDUFS7, NDUFS8, NDUFV1, NDUFV2","NADH dehydrogenase (ubiquinone) Fe-S protein 1 [EC:7.1.1.2], NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:7.1.1.2], NADH dehydrogenase (ubiquinone) Fe-S protein 3 [EC:7.1.1.2], NADH dehydrogenase (ubiquinone) Fe-S protein 4, NADH dehydrogenase (ubiquinone) Fe-S protein 5, NADH dehydrogenase (ubiquinone) Fe-S protein 6, NADH dehydrogenase (ubiquinone) Fe-S protein 7 [EC:7.1.1.2], NADH dehydrogenase (ubiquinone) Fe-S protein 8 [EC:7.1.1.2], NADH dehydrogenase (ubiquinone) flavoprotein 1 [EC:7.1.1.2], NADH dehydrogenase (ubiquinone) flavoprotein 2 [EC:7.1.1.2]","map00190","M00143"
"R11945","7.1.1.2","Ubiquinone + NADH + H+ + 4 H+ <=> Ubiquinol + NAD+ + 4 H+","Bidirectional","K00330, K00331, K00332, K00333, K00334, K00335, K00336, K00337, K00338, K00339, K00340, K00341, K00342, K00343","nuoA, nuoB, nuoC, nuoD, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN","NADH-quinone oxidoreductase subunit A [EC:7.1.1.2], NADH-quinone oxidoreductase subunit B [EC:7.1.1.2], NADH-quinone oxidoreductase subunit C [EC:7.1.1.2], NADH-quinone oxidoreductase subunit D [EC:7.1.1.2], NADH-quinone oxidoreductase subunit E [EC:7.1.1.2], NADH-quinone oxidoreductase subunit F [EC:7.1.1.2], NADH-quinone oxidoreductase subunit G [EC:7.1.1.2], NADH-quinone oxidoreductase subunit H [EC:7.1.1.2], NADH-quinone oxidoreductase subunit I [EC:7.1.1.2], NADH-quinone oxidoreductase subunit J [EC:7.1.1.2], NADH-quinone oxidoreductase subunit K [EC:7.1.1.2], NADH-quinone oxidoreductase subunit L [EC:7.1.1.2], NADH-quinone oxidoreductase subunit M [EC:7.1.1.2], NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]","map00190","M00144"
"R11945","7.1.1.2","Ubiquinone + NADH + H+ + 4 H+ <=> Ubiquinol + NAD+ + 4 H+","Bidirectional","K00330, K00331, K13378, K00334, K00335, K00336, K00337, K00338, K00339, K00340, K00341, K00342, K00343","nuoA, nuoB, nuoCD, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN","NADH-quinone oxidoreductase subunit A [EC:7.1.1.2], NADH-quinone oxidoreductase subunit B [EC:7.1.1.2], NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2], NADH-quinone oxidoreductase subunit E [EC:7.1.1.2], NADH-quinone oxidoreductase subunit F [EC:7.1.1.2], NADH-quinone oxidoreductase subunit G [EC:7.1.1.2], NADH-quinone oxidoreductase subunit H [EC:7.1.1.2], NADH-quinone oxidoreductase subunit I [EC:7.1.1.2], NADH-quinone oxidoreductase subunit J [EC:7.1.1.2], NADH-quinone oxidoreductase subunit K [EC:7.1.1.2], NADH-quinone oxidoreductase subunit L [EC:7.1.1.2], NADH-quinone oxidoreductase subunit M [EC:7.1.1.2], NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]","map00190","M00144"
"R11945","7.1.1.2","Ubiquinone + NADH + H+ + 4 H+ <=> Ubiquinol + NAD+ + 4 H+","Bidirectional","K00330, K13380, K00334, K00335, K00336, K00337, K00338, K00339, K00340, K00341, K00342, K00343","nuoA, nuoBCD, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN","NADH-quinone oxidoreductase subunit A [EC:7.1.1.2], NADH-quinone oxidoreductase subunit B/C/D [EC:7.1.1.2], NADH-quinone oxidoreductase subunit E [EC:7.1.1.2], NADH-quinone oxidoreductase subunit F [EC:7.1.1.2], NADH-quinone oxidoreductase subunit G [EC:7.1.1.2], NADH-quinone oxidoreductase subunit H [EC:7.1.1.2], NADH-quinone oxidoreductase subunit I [EC:7.1.1.2], NADH-quinone oxidoreductase subunit J [EC:7.1.1.2], NADH-quinone oxidoreductase subunit K [EC:7.1.1.2], NADH-quinone oxidoreductase subunit L [EC:7.1.1.2], NADH-quinone oxidoreductase subunit M [EC:7.1.1.2], NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]","map00190","M00144"
"R11945","7.1.1.2","Ubiquinone + NADH + H+ + 4 H+ <=> Ubiquinol + NAD+ + 4 H+","Bidirectional","K05574, K05582, K05581, K05579, K05572, K05580, K05578, K05576, K05577, K05575, K05573","ndhC, ndhK, ndhJ, ndhH, ndhA, ndhI, ndhG, ndhE, ndhF, ndhD, ndhB","NAD(P)H-quinone oxidoreductase subunit 3 [EC:7.1.1.2], NAD(P)H-quinone oxidoreductase subunit K [EC:7.1.1.2], NAD(P)H-quinone oxidoreductase subunit J [EC:7.1.1.2], NAD(P)H-quinone oxidoreductase subunit H [EC:7.1.1.2], NAD(P)H-quinone oxidoreductase subunit 1 [EC:7.1.1.2], NAD(P)H-quinone oxidoreductase subunit I [EC:7.1.1.2], NAD(P)H-quinone oxidoreductase subunit 6 [EC:7.1.1.2], NAD(P)H-quinone oxidoreductase subunit 4L [EC:7.1.1.2], NAD(P)H-quinone oxidoreductase subunit 5 [EC:7.1.1.2], NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2], NAD(P)H-quinone oxidoreductase subunit 2 [EC:7.1.1.2]","map00190","M00145"
"R11945","7.1.1.2","Ubiquinone + NADH + H+ + 4 H+ <=> Ubiquinol + NAD+ + 4 H+","Bidirectional","K03945, K03946, K03947, K03948, K03949, K03950, K03951, K03952, K03953, K03954, K03955, K03956, K11352, K11353","NDUFA1, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFA10, NDUFAB1, NDUFA11, NDUFA12, NDUFA13","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 1, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 2, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 3, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 6, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 7, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 10, NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 11, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 13","map00190","M00146"
"R11945","7.1.1.2","Ubiquinone + NADH + H+ + 4 H+ <=> Ubiquinol + NAD+ + 4 H+","Bidirectional","K03957, K03958, K03959, K03960, K03961, K03962, K03963, K03964, K03965, K03966, K11351, K03967, K03968","NDUFB1, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFB9, NDUFB10, NDUFB11, NDUFC1, NDUFC2","NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 1, NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 2, NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 3, NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 4, NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 5, NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 6, NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 7, NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 8, NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 9, NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 10, NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 11, NADH dehydrogenase (ubiquinone) 1 subunit C1, NADH dehydrogenase (ubiquinone) 1 subunit C2","map00190","M00147"
"R13223","1.3.5.1","Ubiquinone + Succinate <=> Ubiquinol + Fumarate","Bidirectional","K00236, K00237, K00234, K00235","SDHC, SDHD, SDHA, SDHB","succinate dehydrogenase (ubiquinone) cytochrome b560 subunit, succinate dehydrogenase (ubiquinone) membrane anchor subunit, succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1], succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]","map00190","M00148"
"R13223","1.3.5.1","Ubiquinone + Succinate <=> Ubiquinol + Fumarate","Bidirectional","K00236, K25801, K00234, K00235","SDHC, SDH4, SDHA, SDHB","succinate dehydrogenase (ubiquinone) cytochrome b560 subunit, succinate dehydrogenase (ubiquinone) subunit 4, succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1], succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]","map00190","M00148"
"R02164","1.3.5.1","Quinone + Succinate <=> Hydroquinone + Fumarate","Bidirectional","K00241, K00242, K00239, K00240","sdhC, sdhD, sdhA, sdhB","succinate dehydrogenase cytochrome b subunit, succinate dehydrogenase membrane anchor subunit, succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1], succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]","map00190","M00149"
"R02164","1.3.5.1","Quinone + Succinate <=> Hydroquinone + Fumarate","Bidirectional","K00241, K18859, K00239, K00240","sdhC, sdhD, sdhA, sdhB","succinate dehydrogenase cytochrome b subunit, succinate dehydrogenase subunit D, succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1], succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]","map00190","M00149"
"R02164","1.3.5.1","Quinone + Succinate <=> Hydroquinone + Fumarate","Bidirectional","K00241, K18860, K00239, K00240","sdhC, sdhD, sdhA, sdhB","succinate dehydrogenase cytochrome b subunit, succinate dehydrogenase subunit D, succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1], succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]","map00190","M00149"
"R02164","1.3.5.1","Quinone + Succinate <=> Hydroquinone + Fumarate","Bidirectional","K00244, K00245, K00246, K00247","frdA, frdB, frdC, frdD","succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1], succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1], succinate dehydrogenase subunit C, succinate dehydrogenase subunit D","map00190","M00150"
"R02161","7.1.1.8","Ubiquinol + 2 Ferricytochrome c <=> Ubiquinone + 2 Ferrocytochrome c + 2 H+","Bidirectional","K00412, K00413, K00411","CYTB, CYC1, UQCRFS1","ubiquinol-cytochrome c reductase cytochrome b subunit, ubiquinol-cytochrome c reductase cytochrome c1 subunit, ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]","map00190","M00151"
"R13224","7.1.1.8","Hydroquinone + 2 Ferricytochrome c <=> Quinone + 2 Ferrocytochrome c + 2 H+","Bidirectional","K00410, K00411","fbcH, UQCRFS1","ubiquinol-cytochrome c reductase cytochrome b/c1 subunit, ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]","map00190","M00151"
"R13224","7.1.1.8","Hydroquinone + 2 Ferricytochrome c <=> Quinone + 2 Ferrocytochrome c + 2 H+","Bidirectional","K00412, K00413, K00411","CYTB, CYC1, UQCRFS1","ubiquinol-cytochrome c reductase cytochrome b subunit, ubiquinol-cytochrome c reductase cytochrome c1 subunit, ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]","map00190","M00151"
"R13224","7.1.1.8","Hydroquinone + 2 Ferricytochrome c <=> Quinone + 2 Ferrocytochrome c + 2 H+","Bidirectional","K03886, K03887, K03888","qcrA, qcrB, qcrC","quinol---cytochrome c reductase iron-sulfur subunit, bacillus type [EC:7.1.1.8], quinol---cytochrome c reductase cytochrome b subunit, bacillus type [EC:7.1.1.8], quinol---cytochrome c reductase cytochrome c subunit, bacillus type [EC:7.1.1.8]","map00190","M00151"
"R13224","7.1.1.8","Hydroquinone + 2 Ferricytochrome c <=> Quinone + 2 Ferrocytochrome c + 2 H+","Bidirectional","K03890, K03891, K03889","qcrA, qcrB, qcrC","quinol---cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8], quinol---cytochrome-c reductase cytochrome b subunit [EC:7.1.1.8], quinol---cytochrome-c reductase cytochrome c subunit [EC:7.1.1.8]","map00190","M00151"
"R02161","7.1.1.8","Ubiquinol + 2 Ferricytochrome c <=> Ubiquinone + 2 Ferrocytochrome c + 2 H+","Bidirectional","K00411, K00412, K00413, K00414, K00415, K00416, K00417, K00418, K00419, K00420","UQCRFS1, CYTB, CYC1, QCR1, QCR2, QCR6, QCR7, QCR8, QCR9, QCR10","ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8], ubiquinol-cytochrome c reductase cytochrome b subunit, ubiquinol-cytochrome c reductase cytochrome c1 subunit, ubiquinol-cytochrome c reductase core subunit 1, ubiquinol-cytochrome c reductase core subunit 2, ubiquinol-cytochrome c reductase subunit 6, ubiquinol-cytochrome c reductase subunit 7, ubiquinol-cytochrome c reductase subunit 8, ubiquinol-cytochrome c reductase subunit 9, ubiquinol-cytochrome c reductase subunit 10","map00190","M00152"
"R11325","7.1.1.7","2 Ubiquinol + Oxygen + 4 H+ <=> 2 Ubiquinone + 2 H2O + 4 H+","Bidirectional","K00425, K00426, K00424","cydA, cydB, cydX","cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7], cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7], cytochrome bd-I ubiquinol oxidase subunit X [EC:7.1.1.7]","map00190","M00153"
"R11325","7.1.1.7","2 Ubiquinol + Oxygen + 4 H+ <=> 2 Ubiquinone + 2 H2O + 4 H+","Bidirectional","K00425, K00426, K22501","cydA, cydB, appX","cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7], cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7], cytochrome bd-II ubiquinol oxidase subunit AppX [EC:7.1.1.7]","map00190","M00153"
"R00081","7.1.1.9","Oxygen + 4 Ferrocytochrome c + 8 H+ <=> 4 Ferricytochrome c + 2 H2O + 4 H+","Bidirectional","K02257, K02262, K02256, K02261, K02263, K02264, K02265, K02266, K02267, K02268, K02270, K02272, K02258, K02259, K02260","COX10, COX3, COX1, COX2, COX4, COX5A, COX5B, COX6A, COX6B, COX6C, COX7A, COX7C, COX11, COX15, COX17","heme o synthase [EC:2.5.1.141], cytochrome c oxidase subunit 3, cytochrome c oxidase subunit 1 [EC:7.1.1.9], cytochrome c oxidase subunit 2, cytochrome c oxidase subunit 4, cytochrome c oxidase subunit 5a, cytochrome c oxidase subunit 5b, cytochrome c oxidase subunit 6a, cytochrome c oxidase subunit 6b, cytochrome c oxidase subunit 6c, cytochrome c oxidase subunit 7a, cytochrome c oxidase subunit 7c, cytochrome c oxidase assembly protein subunit 11, heme a synthase [EC:1.17.99.9], cytochrome c oxidase assembly protein subunit 17","map00190","M00154"
